code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09988,阿里巴巴-W,2020-02-27 00:00:00,200.40323,202.60323,203.00323,198.80323,45.0,0.00109,23397941,4750201205.0,1.0977866973501318,200.40323
HK.09988,阿里巴巴-W,2020-02-28 00:00:00,198.00323,197.40323,199.40323,196.90323,43.859,0.00181,38816951,7774082289.0,-2.566592842572149,202.60323
HK.09988,阿里巴巴-W,2020-03-02 00:00:00,198.60323,202.00323,202.40323,198.00323,44.868,0.00079,17004513,3458226393.0,2.330255690345084,197.40323
HK.09988,阿里巴巴-W,2020-03-03 00:00:00,203.60323,200.60323,204.00323,199.80323,44.561,0.00089,19156355,3925179562.0,-0.6930582248610607,202.00323
HK.09988,阿里巴巴-W,2020-03-04 00:00:00,200.40323,199.60323,200.60323,198.00323,44.342,0.00068,14553445,2941426278.0,-0.49849645990246516,200.60323
HK.09988,阿里巴巴-W,2020-03-05 00:00:00,202.60323,204.60323,205.60323,201.40323,45.438,0.0009,19343293,3991385561.0,2.5049694837102585,199.60323
HK.09988,阿里巴巴-W,2020-03-06 00:00:00,202.40323,201.20323,202.60323,200.20323,44.692,0.00059,12734463,2594124248.0,-1.6617528472057874,204.60323
HK.09988,阿里巴巴-W,2020-03-09 00:00:00,190.90323,190.90323,195.90323,190.90323,42.434,0.00265,56936906,11126651004.0,-5.119202112212603,201.20323
HK.09988,阿里巴巴-W,2020-03-10 00:00:00,194.40323,196.70323,198.40323,191.00323,43.706,0.00133,28569375,5659658149.0,3.0381885104825006,190.90323
HK.09988,阿里巴巴-W,2020-03-11 00:00:00,197.40323,194.40323,197.80323,194.10323,43.201,0.00083,17860192,3541240837.0,-1.1692741395247972,196.70323
HK.09988,阿里巴巴-W,2020-03-12 00:00:00,189.40323,186.20323,189.60323,184.60323,41.403,0.00195,41842108,7939492279.0,-4.218036912246785,194.40323
HK.09988,阿里巴巴-W,2020-03-13 00:00:00,176.20323,189.10323,191.40323,174.40323,42.039,0.00248,53292364,9826000501.0,1.5574380745167558,186.20323
HK.09988,阿里巴巴-W,2020-03-16 00:00:00,182.40323,176.70323,182.50323,175.40323,39.32,0.0022,47207430,8574736900.0,-6.557265045129059,189.10323
HK.09988,阿里巴巴-W,2020-03-17 00:00:00,179.40323,180.60323,183.30323,172.40323,40.175,0.00172,36872240,6637652712.0,2.2070903853879784,176.70323
HK.09988,阿里巴巴-W,2020-03-18 00:00:00,175.20323,170.40323,179.20323,170.20323,37.938,0.00273,58603973,10381441963.0,-5.647739522709527,180.60323
HK.09988,阿里巴巴-W,2020-03-19 00:00:00,173.50323,171.40323,173.90323,165.00323,38.157,0.00161,34599488,5958311139.0,0.5868433362442719,170.40323
HK.09988,阿里巴巴-W,2020-03-20 00:00:00,174.40323,180.40323,180.40323,174.40323,40.131,0.0013,27899247,5018390033.0,5.250776195991172,171.40323
HK.09988,阿里巴巴-W,2020-03-23 00:00:00,169.90323,167.40323,174.30323,167.40323,37.28,0.00175,37535058,6480078812.0,-7.206079403345495,180.40323
HK.09988,阿里巴巴-W,2020-03-24 00:00:00,171.10323,171.90323,172.40323,167.60323,38.267,0.00125,26729551,4628111939.0,2.6881201754589803,167.40323
HK.09988,阿里巴巴-W,2020-03-25 00:00:00,178.40323,177.10323,179.10323,175.20323,39.407,0.00131,28012053,5027743853.0,3.0249577044014755,171.90323
HK.09988,阿里巴巴-W,2020-03-26 00:00:00,178.40323,178.30323,179.80323,175.70323,39.671,0.00083,17816738,3220118016.0,0.6775709285482919,177.10323
HK.09988,阿里巴巴-W,2020-03-27 00:00:00,183.40323,181.30323,183.40323,180.30323,40.328,0.00111,23922455,4412411150.0,1.6825270075028924,178.30323
HK.09988,阿里巴巴-W,2020-03-30 00:00:00,177.60323,177.70323,179.50323,174.90323,39.539,0.00084,18129547,3260759192.0,-1.9856237530903462,181.30323
HK.09988,阿里巴巴-W,2020-03-31 00:00:00,182.60323,180.80323,183.10323,180.10323,40.219,0.00063,13598127,2501430739.0,1.7444815156145574,177.70323
HK.09988,阿里巴巴-W,2020-04-01 00:00:00,182.80323,181.40323,184.80323,178.50323,40.35,0.00106,22814764,4214464447.0,0.3318524785204303,180.80323
HK.09988,阿里巴巴-W,2020-04-02 00:00:00,180.60323,183.40323,183.90323,179.60323,40.789,0.00057,12304930,2277644390.0,1.102516201062131,181.40323
HK.09988,阿里巴巴-W,2020-04-03 00:00:00,180.90323,181.10323,182.30323,180.00323,40.285,0.00043,9290512,1705499825.0,-1.254067335673429,183.40323
HK.09988,阿里巴巴-W,2020-04-06 00:00:00,183.40323,186.00323,187.10323,182.60323,41.359,0.00085,18253609,3431759028.0,2.705639209195775,181.10323
HK.09988,阿里巴巴-W,2020-04-07 00:00:00,188.90323,188.90323,189.10323,185.90323,41.995,0.00076,16381930,3115543717.0,1.559112710031974,186.00323
HK.09988,阿里巴巴-W,2020-04-08 00:00:00,186.80323,187.50323,188.90323,186.40323,41.688,0.00043,9180063,1744973659.0,-0.7411202021267744,188.90323
HK.09988,阿里巴巴-W,2020-04-09 00:00:00,188.70323,189.10323,189.30323,186.70323,42.039,0.00061,13161858,2510374793.0,0.8533186334976706,187.50323
HK.09988,阿里巴巴-W,2020-04-14 00:00:00,191.40323,194.40323,195.40323,191.40323,43.201,0.00085,18233007,3585101875.0,2.802701995095489,189.10323
HK.09988,阿里巴巴-W,2020-04-15 00:00:00,196.40323,195.30323,198.60323,194.20323,43.399,0.00097,20722474,4136142959.0,0.4629552708563565,194.40323
HK.09988,阿里巴巴-W,2020-04-16 00:00:00,197.40323,200.20323,200.20323,197.30323,44.473,0.00092,19818106,3987061443.0,2.5089190793208984,195.30323
HK.09988,阿里巴巴-W,2020-04-17 00:00:00,207.40323,205.00323,209.20323,203.60323,45.526,0.00156,33397811,6970853930.0,2.3975637156303677,200.20323
HK.09988,阿里巴巴-W,2020-04-20 00:00:00,202.80323,203.20323,205.00323,200.80323,45.131,0.00107,22875450,4707381790.0,-0.878034946083538,205.00323
HK.09988,阿里巴巴-W,2020-04-21 00:00:00,204.40323,201.60323,205.20323,198.00323,44.78,0.00083,17778769,3617090991.0,-0.7873890587270658,203.20323
HK.09988,阿里巴巴-W,2020-04-22 00:00:00,198.40323,203.00323,204.00323,198.00323,45.087,0.0006,12962733,2647113581.0,0.6944333183550709,201.60323
HK.09988,阿里巴巴-W,2020-04-23 00:00:00,201.80323,201.80323,202.60323,199.80323,44.824,0.00076,16359183,3336824002.0,-0.5911235993634134,203.00323
HK.09988,阿里巴巴-W,2020-04-24 00:00:00,196.00323,195.40323,198.00323,194.70323,43.421,0.00112,23966198,4761095408.0,-3.171406126651197,201.80323
HK.09988,阿里巴巴-W,2020-04-27 00:00:00,195.90323,198.00323,199.80323,195.90323,43.991,0.00065,13936896,2796341140.0,1.330581894680039,195.40323
HK.09988,阿里巴巴-W,2020-04-28 00:00:00,195.40323,196.40323,196.60323,193.70323,43.64,0.00093,19944823,3951671874.0,-0.8080676259675129,198.00323
HK.09988,阿里巴巴-W,2020-04-29 00:00:00,193.90323,194.40323,195.30323,193.90323,43.201,0.00069,14850119,2927529397.0,-1.0183131916924177,196.40323
HK.09988,阿里巴巴-W,2020-05-04 00:00:00,187.20323,187.10323,187.30323,185.60323,41.6,0.00125,26903568,5093926432.0,-3.7550816413904293,194.40323
HK.09988,阿里巴巴-W,2020-05-05 00:00:00,185.10323,185.90323,186.60323,184.30323,41.337,0.00126,27110375,5096035902.0,-0.6413571802047398,187.10323
HK.09988,阿里巴巴-W,2020-05-06 00:00:00,187.30323,191.00323,193.00323,186.90323,42.456,0.00107,23022901,4446536870.0,2.7433627699744614,185.90323
HK.09988,阿里巴巴-W,2020-05-07 00:00:00,187.30323,187.90323,188.30323,186.90323,41.776,0.00096,20506910,3901364742.0,-1.6230092025145304,191.00323
HK.09988,阿里巴巴-W,2020-05-08 00:00:00,189.90323,190.80323,192.20323,189.00323,42.412,0.00083,17851592,3456453226.0,1.5433476050411723,187.90323
HK.09988,阿里巴巴-W,2020-05-11 00:00:00,194.30323,196.10323,196.90323,193.90323,43.574,0.00092,19839300,3937522789.0,2.777730754348332,190.80323
HK.09988,阿里巴巴-W,2020-05-12 00:00:00,196.30323,197.10323,197.10323,194.60323,43.793,0.00065,14037259,2790595183.0,0.5099355069266325,196.10323
HK.09988,阿里巴巴-W,2020-05-13 00:00:00,192.90323,193.70323,194.80323,191.70323,43.048,0.00121,26074457,5112304497.0,-1.7249844155268312,197.10323
HK.09988,阿里巴巴-W,2020-05-14 00:00:00,191.90323,191.90323,193.30323,191.50323,42.653,0.0009,19248894,3749540377.0,-0.9292565746064136,193.70323
HK.09988,阿里巴巴-W,2020-05-15 00:00:00,192.40323,194.30323,194.50323,191.50323,43.179,0.00078,16672799,3267430447.0,1.250630330714082,191.90323
HK.09988,阿里巴巴-W,2020-05-18 00:00:00,195.70323,200.40323,200.40323,194.80323,44.517,0.00125,26818890,5405898386.0,3.1394228495326573,194.30323
HK.09988,阿里巴巴-W,2020-05-19 00:00:00,207.40323,207.20323,209.20323,203.00323,46.008,0.00211,45308325,9454817732.0,3.3931588827185983,200.40323
HK.09988,阿里巴巴-W,2020-05-20 00:00:00,208.40323,208.40323,209.00323,206.00323,46.271,0.00105,22533385,4735067369.0,0.5791415510269878,207.20323
HK.09988,阿里巴巴-W,2020-05-21 00:00:00,206.80323,203.60323,207.00323,203.00323,45.219,0.00108,23271613,4822053672.0,-2.303227258042023,208.40323
HK.09988,阿里巴巴-W,2020-05-22 00:00:00,202.40323,195.60323,202.40323,193.40323,26.068,0.00187,40226609,8012203848.0,-3.9292107497508755,203.60323
HK.09988,阿里巴巴-W,2020-05-25 00:00:00,191.10323,195.60323,197.00323,187.70323,26.068,0.00187,40103124,7821602801.0,0.0,195.60323
HK.09988,阿里巴巴-W,2020-05-26 00:00:00,197.40323,198.40323,200.60323,197.40323,26.436,0.00125,26834881,5416027399.0,1.4314692042662134,195.60323
HK.09988,阿里巴巴-W,2020-05-27 00:00:00,196.30323,194.70323,197.00323,193.50323,25.95,0.00154,33136407,6548476863.0,-1.8648889939947133,198.40323
HK.09988,阿里巴巴-W,2020-05-28 00:00:00,192.80323,190.90323,193.90323,188.90323,25.45,0.00144,30919109,6005725353.0,-1.9516882180126045,194.70323
